Source,Source Type,First-Cycle Code,Category,Cluster
Mills et al. (2016),Institutional working paper,POST-TRADE SETTLEMENT INEFFICIENCY,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Mills et al. (2016),Institutional working paper,COORDINATION PROBLEM IN DLT ADOPTION,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Mills et al. (2016),Institutional working paper,DLT COST REDUCTION POTENTIAL,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Mills et al. (2016),Institutional working paper,NETWORK EFFECTS AS ADOPTION CONDITION,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Mills et al. (2016),Institutional working paper,COUNTERPARTY RISK MANAGEMENT,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Mills et al. (2016),Institutional working paper,INTERMEDIARY RECONCILIATION COSTS,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Benos et al. (2019),Peer-reviewed article,ECONOMICS OF DLT SETTLEMENT,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Benos et al. (2019),Peer-reviewed article,CRITICAL ADOPTION THRESHOLD,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Benos et al. (2019),Peer-reviewed article,COORDINATION REQUIREMENT FOR DLT,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Benos et al. (2019),Peer-reviewed article,MARKET CONCENTRATION IN POST-TRADE,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
Benos et al. (2019),Peer-reviewed article,NET BENEFIT CONDITIONAL ON PARTICIPATION,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Priem (2020),Peer-reviewed article,DLT IN CLEARING AND SETTLEMENT,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Priem (2020),Peer-reviewed article,REGULATORY BARRIERS TO DLT,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Priem (2020),Peer-reviewed article,LEGAL FRAMEWORK GAPS,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Priem (2020),Peer-reviewed article,INTEROPERABILITY DEFICITS BETWEEN PLATFORMS,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Priem (2020),Peer-reviewed article,INSTITUTIONAL DLT ADOPTION BARRIERS,Settlement Infrastructure & Efficiency,CLUSTER A Technology Enablers
Tanveer et al. (2025),Peer-reviewed article,REAL-WORLD ASSET TOKENISATION,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Tanveer et al. (2025),Peer-reviewed article,FRACTIONAL OWNERSHIP MODELS,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Tanveer et al. (2025),Peer-reviewed article,RISK REALLOCATION THROUGH TOKENISATION,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Tanveer et al. (2025),Peer-reviewed article,CUSTODIAL INTERMEDIARY DISRUPTION,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Tanveer et al. (2025),Peer-reviewed article,GOVERNANCE COMPLEXITY OF TOKENISATION,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Tanveer et al. (2025),Peer-reviewed article,REGULATORY FRAMEWORK FOR TOKENISED ASSETS,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Proskurovska & Birch (2025),Peer-reviewed article,LIMITS OF TOKENISATION CLAIMS,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Proskurovska & Birch (2025),Peer-reviewed article,LEGAL INFRASTRUCTURE AS TOKENISATION PREREQUISITE,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Proskurovska & Birch (2025),Peer-reviewed article,PROPERTY RIGHTS COMPLEXITY,Other,Methodology
Proskurovska & Birch (2025),Peer-reviewed article,INSTITUTIONAL BOUNDARY CONDITIONS FOR DLT,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Shah et al. (2023),Peer-reviewed article,DECENTRALISED FINANCE PROTOCOLS,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Shah et al. (2023),Peer-reviewed article,SMART CONTRACT FUNCTIONALITY,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Shah et al. (2023),Peer-reviewed article,DEFI SYSTEMIC RISK,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Shah et al. (2023),Peer-reviewed article,STABLECOIN MARKET DYNAMICS,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Shah et al. (2023),Peer-reviewed article,INSTITUTIONAL DEFI PARTICIPATION,Asset Tokenisation & DeFi,CLUSTER A Technology Enablers
Adisa et al. (2024),Peer-reviewed article,DEFI IMPACT ON TRADITIONAL FINANCE,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
Adisa et al. (2024),Peer-reviewed article,STABLECOIN SYSTEMIC LINKAGES,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
Adisa et al. (2024),Peer-reviewed article,BLOCKCHAIN-DRIVEN FINANCIAL SYSTEM CHANGE,Market Investment & Adoption Evidence,CLUSTER C Market & Adoption Dynamics
Adisa et al. (2024),Peer-reviewed article,REGULATORY ACCOUNTABILITY IN DEFI,Regulatory Frameworks & Compliance,CLUSTER B Regulatory & Governance Forces
