"Sygnatura czasowa","Are you willing to participate in this questionnaire by continuing with the survey, thereby providing your consent to take part in this research and for your responses to be used for analysis?","What is your current status?","How familiar are you with blockchain technology?
(Scale 1–5: 1 = Never heard of it → 5 = I work with / study it)","How would you describe the current state of blockchain in capital markets?","Have you ever encountered blockchain being used in a financial or professional context?","How long do you think it will take for blockchain to become standard in capital markets?","Which factor do you think is MOST driving blockchain adoption in finance?","How significant do you think AI integration is for blockchain's future in finance?
(Scale 1–5: 1 = Not significant → 5 = Game changing)","Do you think tokenisation, AI, and regulation reinforce each other or work independently?
(Scale 1–5: 1 = Completely independent → 5 = Strongly reinforce each other)","Do you think the EU's MiCA regulation is sufficient, or is global coordination needed?","Compared to 3–5 years ago, do you think blockchain's credibility in finance has improved, stayed the same, or declined?","Which future scenario do you think is most likely by 2030?"
"2026/05/03 4:23:06 PM EEST","Yes","Finance / Economics student","3","Already mainstream in the industry","Not sure","3–7 years","Integration of AI with blockchain","3","4","Global coordination is necessary","Stayed the same","Blockchain adoption stalls or reverses"
"2026/05/06 11:10:24 PM EEST","Yes","Student from a different field","2","I don't know enough to say","Not sure","3–7 years","I'm not sure","4","4","I'm not familiar with MiCA","Stayed the same","Blockchain stays niche, used only in specific cases"
"2026/05/06 11:18:50 PM EEST","Yes","Student from a different field","2","I don't know enough to say","Yes","3–7 years","Regulatory frameworks (e.g. EU's MiCA)","3","3","Global coordination is necessary","I don't know","I have no idea"
"2026/05/06 11:23:45 PM EEST","Yes","Student from a different field","2","Gradually being adopted in specific use cases","No","1–3 years","Demand from large financial institutions","2","4","Global coordination is necessary","Declined","Blockchain thrives in the EU but remains fragmented globally"
"2026/05/06 11:23:50 PM EEST","Yes","Finance / Economics student","4","Past the hype, but struggling to scale","Yes","7+ years","Demand from large financial institutions","4","4","Regulation is holding blockchain back","Improved significantly","Blockchain stays niche, used only in specific cases"
"2026/05/06 11:24:55 PM EEST","Yes","Student from a different field","3","Gradually being adopted in specific use cases","Yes","7+ years","Integration of AI with blockchain","5","4","I'm not familiar with MiCA","Improved slightly","Blockchain stays niche, used only in specific cases"
"2026/05/06 11:24:56 PM EEST","Yes","Student from a different field","3","I don't know enough to say","Not sure","3–7 years","Integration of AI with blockchain","3","3","I'm not familiar with MiCA","Improved slightly","Blockchain thrives in the EU but remains fragmented globally"
"2026/05/06 11:26:14 PM EEST","Yes","Finance / Economics student","2","Gradually being adopted in specific use cases","Yes","1–3 years","Demand from large financial institutions","3","3","Regulation is holding blockchain back","Improved slightly","Blockchain thrives in the EU but remains fragmented globally"
"2026/05/06 11:27:42 PM EEST","Yes","Student from a different field","2","Past the hype, but struggling to scale","Yes","1–3 years","Tokenisation of real-world assets","4","4","I'm not familiar with MiCA","Improved slightly","Blockchain thrives in the EU but remains fragmented globally"
"2026/05/06 11:46:02 PM EEST","Yes","Student from a different field","1","I don't know enough to say","Not sure","1–3 years","I'm not sure","5","2","I'm not familiar with MiCA","I don't know","I have no idea"
"2026/05/06 11:48:46 PM EEST","Yes","Student from a different field","3","Gradually being adopted in specific use cases","Not sure","1–3 years","Regulatory frameworks (e.g. EU's MiCA)","4","4","I'm not familiar with MiCA","Improved slightly","Blockchain stays niche, used only in specific cases"
"2026/05/07 12:30:01 AM EEST","Yes","Student from a different field","3","I don't know enough to say","Not sure","3–7 years","Tokenisation of real-world assets","4","4","I'm not familiar with MiCA","Improved significantly","Blockchain stays niche, used only in specific cases"
"2026/05/07 1:49:05 AM EEST","Yes","Mgmt & ai","4","Gradually being adopted in specific use cases","Yes","7+ years","Better technology: costs, encryption, integrity, decentralisation etc.","2","2","I'm not familiar with MiCA","Improved slightly","Blockchain thrives in the EU but remains fragmented globally"
"2026/05/07 9:43:15 AM EEST","Yes","Student from a different field","2","I don't know enough to say","Not sure","3–7 years","Regulatory frameworks (e.g. EU's MiCA)","3","3","MiCA is enough for now","I don't know","I have no idea"
"2026/05/07 9:56:32 AM EEST","Yes","Finance / Economics student","3","Gradually being adopted in specific use cases","Yes","3–7 years","Tokenisation of real-world assets","5","3","I'm not familiar with MiCA","Declined","Blockchain becomes a global standard in capital markets"
"2026/05/07 10:06:39 AM EEST","Yes","Working in a different industry","2","I don't know enough to say","Not sure","1–3 years","Demand from large financial institutions","2","3","I'm not familiar with MiCA","I don't know","Blockchain becomes a global standard in capital markets"
"2026/05/07 10:06:39 AM EEST","Yes","Working in a different industry","1","I don't know enough to say","Not sure","1–3 years","I'm not sure","3","3","I'm not familiar with MiCA","I don't know","I have no idea"
"2026/05/07 10:07:50 AM EEST","Yes","Student from a different field","5","Past the hype, but struggling to scale","Yes","3–7 years","Demand from large financial institutions","2","2","Regulation is holding blockchain back","Stayed the same","Blockchain stays niche, used only in specific cases"
"2026/05/07 10:10:21 AM EEST","Yes","Finance / Banking professional","3","Gradually being adopted in specific use cases","No","7+ years","Tokenisation of real-world assets","4","5","Regulation is holding blockchain back","Improved slightly","Blockchain stays niche, used only in specific cases"
"2026/05/07 10:10:44 AM EEST","Yes","Student from a different field","3","I don't know enough to say","Not sure","7+ years","I'm not sure","4","4","I'm not familiar with MiCA","Improved slightly","Blockchain thrives in the EU but remains fragmented globally"
"2026/05/07 10:37:50 AM EEST","Yes","Finance / Economics student","2","Gradually being adopted in specific use cases","Yes","7+ years","I'm not sure","3","3","Regulation is holding blockchain back","Stayed the same","Blockchain stays niche, used only in specific cases"
"2026/05/07 10:42:03 AM EEST","Yes","Finance / Economics student","2","I don't know enough to say","No","Never","I'm not sure","2","2","Global coordination is necessary","Declined","Blockchain stays niche, used only in specific cases"
"2026/05/07 10:46:24 AM EEST","Yes","Finance / Banking professional","3","Past the hype, but struggling to scale","No","7+ years","I'm not sure","2","4","Global coordination is necessary","Improved significantly","Blockchain stays niche, used only in specific cases"
"2026/05/07 12:39:47 PM EEST","Yes","Working in a different industry","3","Past the hype, but struggling to scale","No","Never","I'm not sure","3","3","I'm not familiar with MiCA","I don't know","I have no idea"
"2026/05/07 1:20:03 PM EEST","Yes","Student from a different field","4","Gradually being adopted in specific use cases","Yes","3–7 years","I'm not sure","4","4","I'm not familiar with MiCA","Improved slightly","Blockchain stays niche, used only in specific cases"
"2026/05/07 1:26:21 PM EEST","Yes","Student from a different field","3","Gradually being adopted in specific use cases","Yes","3–7 years","I'm not sure","4","4","Regulation is holding blockchain back","Improved significantly","I have no idea"
"2026/05/07 2:05:59 PM EEST","Yes","Student from a different field","3","Gradually being adopted in specific use cases","Yes","3–7 years","Tokenisation of real-world assets","3","2","Regulation is holding blockchain back","Stayed the same","Blockchain becomes a global standard in capital markets"
"2026/05/07 5:07:39 PM EEST","Yes","Student from a different field","2","Past the hype, but struggling to scale","No","Never","I'm not sure","2","4","I'm not familiar with MiCA","Improved slightly","Blockchain stays niche, used only in specific cases"
"2026/05/07 6:56:59 PM EEST","Yes","Student from a different field","2","I don't know enough to say","No","1–3 years","Integration of AI with blockchain","4","4","I'm not familiar with MiCA","Improved slightly","Blockchain stays niche, used only in specific cases"
"2026/05/07 8:00:30 PM EEST","Yes","Student from a different field","3","I don't know enough to say","Yes","3–7 years","Demand from large financial institutions","4","4","Global coordination is necessary","Improved significantly","Blockchain thrives in the EU but remains fragmented globally"
"2026/05/07 8:42:33 PM EEST","Yes","Working in a different industry","2","Past the hype, but struggling to scale","No","Never","I'm not sure","1","1","I'm not familiar with MiCA","Declined","Blockchain stays niche, used only in specific cases"
"2026/05/07 8:59:21 PM EEST","Yes","Student from a different field","3","I don't know enough to say","Yes","Never","I'm not sure","3","3","Regulation is holding blockchain back","Improved significantly","Blockchain stays niche, used only in specific cases"
"2026/05/07 9:22:05 PM EEST","Yes","Student from a different field","3","Gradually being adopted in specific use cases","No","3–7 years","Demand from large financial institutions","4","5","Global coordination is necessary","Improved slightly","Blockchain thrives in the EU but remains fragmented globally"
"2026/05/07 11:22:18 PM EEST","Yes","Finance / Economics student","4","Gradually being adopted in specific use cases","Yes","3–7 years","Tokenisation of real-world assets","3","4","MiCA is enough for now","Improved significantly","Blockchain thrives in the EU but remains fragmented globally"
